OpenAir St.Gallen vom 25.06.2026 bis zum 28.06.2026;;;;
#;Name;Untertitel;Preis für 3 Nächte;Preis pro Nacht
82;Wohnung in Rorschach;See-Wohnung mit Gratisparkplatz;CHF 625;CHF 208.33
83;Unterkunft in St. Gallen;Dom Studio K ohne Reinigung;CHF 798;CHF 266.00
84;Zimmer in Speicher;Doppelzimmer ruhige Lage nahe ÖV;CHF 398;CHF 132.67
85;Zimmer in Sankt Gallen;Casa Siddhartha - Th. Mann;CHF 179;CHF 59.67
86;Wohnung in St. Gallen;book2stay 2.5-Zimmer Apartment #8 Säntis bis zu 6;CHF 1’540;CHF 513.33
87;Unterkunft in St. Gallen;Dom Studio M ohne Reinigung;CHF 827;CHF 275.67
88;Wohnung in Rorschach;Superior Apartment mit Seesicht;CHF 585;CHF 195.00
89;Wohnung in Rorschach;Studio Apartment mit Seesicht;CHF 549;CHF 183.00
90;Wohnung in Flawil;schöne Wohnung in Flawil - neu, naturnah, ruhig;CHF 594;CHF 198.00
91;Wohnung in St. Gallen;Klara 1031 - Olma, Spital, Universität St. Gallen;CHF 1’103;CHF 367.67
92;Wohnung in Rehetobel;Nanis Höckli im Appenzellerland;CHF 312;CHF 104.00
93;Gemeinsames Zimmer in St. Gallen;NTN HoSTEL 3;CHF 190;CHF 63.33
94;Eigentumswohnung in St. Gallen;Stilvolles Studio Apartment bei der Messe Olma;CHF 1’066;CHF 355.33
95;Wohnung in Arbon;Schöne Wohnung 5 Minuten vom Bodensee entfernt;CHF 672;CHF 224.00
96;Zimmer in St. Gallen;YELLOW INN B 27 nähe Uni, Olma, Spital, FHS;CHF 716;CHF 238.67
97;Unterkunft in Rorschacherberg;Gemütliches Zimmer im ruhigen Rorschacherberg Haus - 2;CHF 265;CHF 88.33
98;Zimmer in Arbon;"""Säntis"", ruhige Lage, freundl. Zimmer "", seenah.";CHF 230;CHF 76.67
99;Zimmer in St. Gallen;Zimmer für 4 Personen;CHF 403;CHF 134.33
100;Unterkunft in St. Gallen;Gemütliches Studio im Zentrum von St. Gallen (nur für Frauen);CHF 237;CHF 79.00
;;;;
;;;;
;;;;
OLMA vom 08.10.2026 bis zum 18.10.2026;;;;
#;Name;Untertitel;Preis für 10 Nächte;Preis pro Nacht
1;Wohnung in St. Gallen;Gemütliche Wohnung;CHF 779;CHF 77.90
2;Zimmer in St. Gallen;Das Haus mit dem Schwein;CHF 436;CHF 43.60
3;Wohnung in St. Gallen;St.Gallen zentral, ruhig, bei Badeweihern und Wald;CHF 1’117;CHF 111.70
4;Zimmer in St Gallen;St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;CHF 773;CHF 77.30
5;Wohnung in St. Gallen;Zur Geduld (direkt am Bahnhof);CHF 706;CHF 70.60
6;Wohnung in St. Gallen;Studio mit Panoramaaussicht;CHF 600;CHF 60.00
7;Wohnung in St. Gallen;4 Zimmer mit Charme an bester Lage;CHF 1’306;CHF 130.60
8;Wohnung in St. Gallen;1 Zimmerwohnung ohne Küche mitten im Zentrum;CHF 743;CHF 74.30
9;Wohnung in St. Gallen;Studio mit Charme und Aussicht;CHF 600;CHF 60.00
10;Wohnung in Sankt Gallen;2. Modernes Apartment 2 Min vom Bahnhof;CHF 1’720;CHF 172.00
11;Wohnung in St. Gallen;2 Zimmer mit Balkon, Netflix und Mietfahrräder;CHF 1’046;CHF 104.60
12;Unterkunft in St. Gallen;Gästezimmer mit Dusche/WC;CHF 688;CHF 68.80
13;Zimmer in St. Gallen;Fühlen sie sich wie zu Hause;CHF 541;CHF 54.10
14;Zimmer in St. Gallen;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;CHF 842;CHF 84.20
