category,name,original_price,discounted_price,price_per_night
OLMA (08.10.2026 - 18.10.2026),Es können zwei Personen darin schlafen.,432 CHF,397 CHF,39.7
OLMA (08.10.2026 - 18.10.2026),Studio Trailalps: in der Nähe von St. Gallen,797 CHF,657 CHF,65.7
OLMA (08.10.2026 - 18.10.2026),Modernes Studio nahe Bodensee | Ruhig & zentral,755 CHF,640 CHF,64
OLMA (08.10.2026 - 18.10.2026),Wohnung 2-3 Bett in Rorschach am Bodensee,1’022 CHF,891 CHF,89.1
OLMA (08.10.2026 - 18.10.2026),gemütliche Wohnung,1’405 CHF,1’162 CHF,116.2
OLMA (08.10.2026 - 18.10.2026),Grosszügige Garten-Wohnung,1’740 CHF,,1740
OLMA (08.10.2026 - 18.10.2026),Ferienwohnung klein aber fein,840 CHF,,840
OLMA (08.10.2026 - 18.10.2026),1. Modernes Apartment 2 Min vom Bahnhof,1’720 CHF,1’510 CHF,151
OLMA (08.10.2026 - 18.10.2026),spezielle Wohnung in Goldach,748 CHF,,748
OLMA (08.10.2026 - 18.10.2026),"Stilvolle Wohnung, historischer Charme/Altstadt",2’500 CHF,2’289 CHF,228.9
OLMA (08.10.2026 - 18.10.2026),Casa Siddhartha - „H.Hesse“,487 CHF,429 CHF,42.9
OLMA (08.10.2026 - 18.10.2026),Historisches Penthouse-Apartment in der Altstadt,1’793 CHF,,1793
OLMA (08.10.2026 - 18.10.2026),Stadtstudio,1’019 CHF,899 CHF,89.9
OLMA (08.10.2026 - 18.10.2026),Idyllisches Plätzchen in Thurgauer Weiler,1’012 CHF,842 CHF,84.2
OLMA (08.10.2026 - 18.10.2026),Charmante grosse Wohnung nähe Zentrum und Autobahn,1’068 CHF,969 CHF,96.9
OLMA (08.10.2026 - 18.10.2026),hübsche Wohnung mit Sonnenterrasse,980 CHF,,980
OLMA (08.10.2026 - 18.10.2026),Modernes Apartment mit Balkon & Parkplatz/Nähe See,2’013 CHF,,2013
OLMA (08.10.2026 - 18.10.2026),"Zwei helle Zimmer, Küche und Bad",840 CHF,,840
OLMA (08.10.2026 - 18.10.2026),Ferien auf dem Billenberghof,1’635 CHF,1’486 CHF,148.6
OLMA (08.10.2026 - 18.10.2026),Genieße den Seeblick von der Dachterrasse,1’661 CHF,,1661
OLMA (08.10.2026 - 18.10.2026),Charmante Wohnung mit Blick zum Säntis,1’834 CHF,1’688 CHF,168.8
OLMA (08.10.2026 - 18.10.2026),"Gelb, gelb, gelb, gelb!",1’596 CHF,,1596
OLMA (08.10.2026 - 18.10.2026),"BLIV: Design-Apartment mit Parkplatz, nahe Zentrum",3’070 CHF,,3070
OLMA (08.10.2026 - 18.10.2026),Ruhiges Loft am Park (Anliegerstrasse) - Bodensee,757 CHF,,757
OLMA (08.10.2026 - 18.10.2026),Ferienwohnung Hirschen,1’563 CHF,1’381 CHF,138.1
OLMA (08.10.2026 - 18.10.2026),Appartment mit luxeriösem Bad,1’372 CHF,1’256 CHF,125.6
OLMA (08.10.2026 - 18.10.2026),TouchBed | Budget-Studio,1’237 CHF,,1237
OLMA (08.10.2026 - 18.10.2026),Charmante und zentrale Wohnung am Weiherpark Arbon,1’390 CHF,1’280 CHF,128
OLMA (08.10.2026 - 18.10.2026),Ganzes Haus mit Pool und Homecinema in Rotmonten,5’810 CHF,5’060 CHF,506
OLMA (08.10.2026 - 18.10.2026),Casa Siddhartha - R. Musil,566 CHF,497 CHF,49.7
OLMA (08.10.2026 - 18.10.2026),Zentrales Studio | 5 Min. zum Bahnhof,1’476 CHF,1’183 CHF,118.3
OLMA (08.10.2026 - 18.10.2026),Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik,456 CHF,418 CHF,41.8
OLMA (08.10.2026 - 18.10.2026),TouchBed | Budget Einzelzimmer,897 CHF,,897
OLMA (08.10.2026 - 18.10.2026),"Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum",2’366 CHF,2’160 CHF,216
OLMA (08.10.2026 - 18.10.2026),Schönes Zimmer in der Nähe des Stadtzentrums,461 CHF,383 CHF,38.3
OLMA (08.10.2026 - 18.10.2026),TouchBed | Große 4-Zimmer-Wohnung im Obergeschoss,4’011 CHF,,4011
OLMA (08.10.2026 - 18.10.2026),"Charmante, sehr zentral gelegene 4-Zimmerwohnung",1’988 CHF,1’664 CHF,166.4
OLMA (08.10.2026 - 18.10.2026),BLIV: Exklusive Dachgeschosswohnung im Zentrum,2’854 CHF,,2854
OLMA (08.10.2026 - 18.10.2026),Ruhe für Musiker! B&B am Bodensee.,945 CHF,,945
OLMA (08.10.2026 - 18.10.2026),Gemütliche Ferienwohnung auf Bio Bauernhof,1’081 CHF,992 CHF,99.2
OLMA (08.10.2026 - 18.10.2026),Ruhiger Ort auf dem Dorfhügel.,561 CHF,461 CHF,46.1
OLMA (08.10.2026 - 18.10.2026),Ruhiger Ort auf dem Dorfhügel Wittenbach,381 CHF,,381
OLMA (08.10.2026 - 18.10.2026),St Gallen City- 5 min. vom Bahnhof- klein & fein,1’619 CHF,1’199 CHF,119.9
OLMA (08.10.2026 - 18.10.2026),Schlossapartament,1’200 CHF,1’008 CHF,100.8
OLMA (08.10.2026 - 18.10.2026),grosse Privat-Zimmer in sonnigem Einfamilienhaus,602 CHF,553 CHF,55.3
OLMA (08.10.2026 - 18.10.2026),"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah",684 CHF,594 CHF,59.4
OLMA (08.10.2026 - 18.10.2026),Altstadtflair in historischem Doppelzimmer,1’208 CHF,1’107 CHF,110.7
OLMA (08.10.2026 - 18.10.2026),Umweltfreundl. Rooftop Apart. St. Gallen Zentrum,2’831 CHF,2’054 CHF,205.4
OLMA (08.10.2026 - 18.10.2026),Ruhiges Tiny House in der Nähe des Waldes,1’438 CHF,1’230 CHF,123
OLMA (08.10.2026 - 18.10.2026),Zentrales Studio | 5 Min. zum Bahnhof,1’476 CHF,1’169 CHF,116.9
OLMA (08.10.2026 - 18.10.2026),Stilvolles Doppelzimmer/Historisches Altstadtflair,1’195 CHF,1’095 CHF,109.5
OLMA (08.10.2026 - 18.10.2026),Heimeliges altes Ferienhäuschen in Wald AR,1’177 CHF,1’028 CHF,102.8
OLMA (08.10.2026 - 18.10.2026),Zu Gast im Hecht Rehetobel,764 CHF,704 CHF,70.4
OLMA (08.10.2026 - 18.10.2026),Stadtwohnung mit Küche & gratis Parkplatz,2’042 CHF,,2042
