OpenAir;25.06.2026 - 28.06.2026;;;;
;;;;;
nummer;titel;preis_rabatt;preis_ohneRabatt;preis_total;preis_proNacht
19;Eigentumswohnung in Gaiserwald;;1’078;1078;108
20;Zimmer in St. Gallen;;842;842;84
21;Wohnung in St. Gallen;1’090;;1090;109
22;Wohnung in Tübach;1’000;;1000;100
23;Unterkunft in St. Gallen;1’239;;1239;124
24;Wohnung in Arbon;612;;612;61
25;Zimmer in St. Gallen;539;;539;54
26;Loft in Wittenbach;916;;916;92
27;Wohnung in Speicherschwendi;1’426;;1426;143
28;Wohnung in St. Gallen;;1’150;1150;115
29;Wohnung in Goldach;767;;767;77
30;Wohnung in St. Gallen;2’283;;2283;228
31;Wohnung in St. Gallen;1’162;;1162;116
32;Zimmer in St. Gallen;397;;397;40
33;Privatunterkunft in Rorschach;;5’733;5733;573
34;Privatunterkunft in Goldach;1’505;;1505;151
35;Eigentumswohnung in Rehetobel;873;;873;87
36;Wohnung in Goldach;640;;640;64
37;Wohnung in Speicherschwendi;657;;657;66
38;Zimmer in Herisau;;428;428;43
39;Wohnung in Sankt Gallen;1’510;;1510;151
40;Wohnung in St. Gallen;969;;969;97
41;Wohnung in Rorschach;889;;889;89
42;Wohnung in St. Gallen;;980;980;98
43;Unterkunft in St. Gallen;;878;878;88
44;Wohnung in St. Gallen;;1’793;1793;179
45;Wohnung in St. Gallen;;2’013;2013;201
46;Wohnung in Goldach;;748;748;75
47;Unterkunft in St. Gallen;1’021;;1021;102
48;Zimmer in St. Gallen;501;;501;50
49;Privatunterkunft in St. Gallen;2’160;;2160;216
50;Wohnung in St. Gallen;1’486;;1486;149
51;Wohnung in Gossau;1’381;;1381;138
52;Wohnung in St. Gallen;899;;899;90
53;Wohnung in St. Gallen;;3’070;3070;307
54;Privatunterkunft in St. Gallen;5’060;;5060;506
55;Wohnung in St. Gallen;1’183;;1183;118
56;Zimmer in St. Gallen;383;;383;38
57;Zimmer in Sankt Gallen;429;;429;43
58;Zimmer in Sankt Gallen;429;;429;43
59;Wohnung in St. Gallen;1’199;;1199;120
60;Wohnung in Herisau;1’688;;1688;169
61;Zimmer in Egnach;842;;842;84
62;Wohnung in St. Gallen;;1’237;1237;124
63;Wohnung in Arbon;1’280;;1280;128
64;Wohnung in St. Gallen;1’256;;1256;126
65;Eigentumswohnung in Rorschach;;1’740;1740;174
66;Eigentumswohnung in Rorschach;;1’661;1661;166
67;Wohnung in St. Gallen;1’169;;1169;117
68;Wohnung in Arbon;;757;757;76
69;Unterkunft in St. Gallen;1’095;;1095;110
70;Wohnung in St. Gallen;;2’868;2868;287
71;Wohnung in Heiden;;840;840;84
72;Wohnung in St. Gallen;;2’032;2032;203
73;Wohnung in St. Gallen;;4’011;4011;401
74;Wohnung in Rorschach;1’664;;1664;166
75;Wohnung in St. Gallen;2’054;;2054;205
76;Eigentumswohnung in Rorschach;;1’596;1596;160
77;Zimmer in Sankt Gallen;497;;497;50
78;Gästehaus in Freidorf;992;;992;99
79;Unterkunft in St. Gallen;;897;897;90
80;Unterkunft in Wittenbach;461;;461;46
81;Zimmer in Zihlschlacht-Sitterdorf;418;;418;42
82;Zimmer in Heiden;;840;840;84
83;Wohnung in St. Gallen;1’568;;1568;157
84;Zimmer in Speicherschwendi;554;;554;55
85;Wohnung in St. Gallen;1’422;;1422;142
86;Zimmer in Wittenbach;;381;381;38
87;Wohnung in St. Gallen;;3’062;3062;306
88;Unterkunft in St. Gallen;1’105;;1105;111
89;Wohnung in St. Gallen;;1’648;1648;165
90;Wohnung in St. Gallen;1’072;;1072;107
91;Wohnung in St. Gallen;1’621;;1621;162
92;Wohnung in St. Gallen;;1’342;1342;134
93;Wohnung in St. Gallen;;1’916;1916;192
94;Wohnung in St. Gallen;1’621;;1621;162
95;Gästehaus in Wittenbach;;438;438;44
96;Wohnung in Rorschach;1’449;;1449;145
97;Wohnung in Arbon;1’008;;1008;101
98;Wohnung in Rehetobel;704;;704;70
99;Zimmer in Arbon;594;;594;59
100;Zimmer in Rorschach;;945;945;95
